date,state,district,pincode,bio_age_5_17,bio_age_17_
01-03-2025,Delhi,North West Delhi,110085,1388,2198
01-04-2025,Delhi,North East Delhi,110094,6921,5066
01-04-2025,Delhi,West Delhi,110059,5003,7201
01-04-2025,Delhi,North East Delhi,110093,3849,2323
01-04-2025,Delhi,South Delhi,110044,5411,6984
01-04-2025,Delhi,North West Delhi,110036,1127,1087
01-04-2025,Delhi,Central Delhi,110002,625,602
01-04-2025,Delhi,South Delhi,110016,137,101
01-04-2025,Delhi,South Delhi,110048,143,137
01-04-2025,Delhi,New Delhi,110001,223,163
01-04-2025,Delhi,South West Delhi,110037,1063,865
01-04-2025,Delhi,Central Delhi,110060,44,62
01-04-2025,Delhi,South West Delhi,110045,2063,2328
01-04-2025,Delhi,South Delhi,110025,1477,1644
01-04-2025,Delhi,North West Delhi,110033,2042,3256
01-04-2025,Delhi,East Delhi,110092,3042,2869
01-04-2025,Delhi,Central Delhi,110011,18,51
01-05-2025,Delhi,South West Delhi,110030,57,52
01-05-2025,Delhi,North East Delhi,110094,4157,4047
01-05-2025,Delhi,South West Delhi,110070,232,313
01-05-2025,Delhi,South Delhi,110020,473,615
01-06-2025,Delhi,Central Delhi,110011,17,30
01-05-2025,Delhi,East Delhi,110091,1505,1969
01-05-2025,Delhi,West Delhi,110015,615,935
01-05-2025,Delhi,North West Delhi,110085,1525,2353
01-05-2025,Delhi,South West Delhi,110022,229,233
01-05-2025,Delhi,Central Delhi,110011,23,54
01-05-2025,Delhi,East Delhi,110095,993,1539
01-05-2025,Delhi,South Delhi,110016,108,101
01-05-2025,Delhi,Najafgarh,110043,15,155
01-05-2025,Delhi,North West Delhi,110033,1593,2715
01-05-2025,Delhi,North West Delhi,110039,1430,2303
01-05-2025,Delhi,South West Delhi,110029,74,162
01-05-2025,Delhi,Central Delhi,110002,382,536
01-05-2025,Delhi,New Delhi,110021,127,96
25-10-2025,Delhi,East Delhi,110094,0,1
24-10-2025,Delhi,Central Delhi,110011,0,2
18-10-2025,Delhi,South West Delhi,110016,0,3
27-10-2025,Delhi,Central Delhi,110004,1,0
19-10-2025,Delhi,Central Delhi,110001,0,2
19-10-2025,Delhi,South West Delhi,110029,2,4
20-10-2025,Delhi,North West Delhi,110088,1,1
17-10-2025,Delhi,North West Delhi,110056,0,2
15-10-2025,Delhi,East Delhi,110093,0,1
28-10-2025,Delhi,New Delhi,110011,0,1
30-10-2025,Delhi,New Delhi,110011,0,1
02-11-2025,Delhi,North West Delhi,110094,1,1
09-11-2025,Delhi,Central Delhi,110011,1,0
16-11-2025,Delhi,Central Delhi,110004,7,0
09-11-2025,Delhi,Central Delhi,110060,0,2
09-11-2025,Delhi,New Delhi,110021,0,2
09-11-2025,Delhi,North West Delhi,110056,0,2
09-11-2025,Delhi,North West Delhi,110082,0,5
09-11-2025,Delhi,South Delhi,110016,0,2
09-11-2025,Delhi,South West Delhi,110057,0,3
09-11-2025,Delhi,South West Delhi,110061,2,3
09-11-2025,Delhi,South West Delhi,110071,0,5
05-11-2025,Delhi,Central Delhi,110055,1,9
05-11-2025,Delhi,South West Delhi,110029,1,4
04-11-2025,Delhi,New Delhi,110023,0,2
